City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
193,Verkhnyaya Inta,RU,65.9811,60.3094,2.41,83,95,6.69,overcast clouds,2022-02-13 19:53:50
194,Mackay,AU,-21.15,149.2,75.69,83,75,12.66,broken clouds,2022-02-13 19:45:48
195,Saint-Leu,RE,-21.15,55.2833,79.66,82,1,6.35,clear sky,2022-02-13 19:53:51
196,Avarua,CK,-21.2078,-159.775,80.65,78,100,4.61,overcast clouds,2022-02-13 19:48:12
197,Richards Bay,ZA,-28.783,32.0377,75.78,91,44,4.5,scattered clouds,2022-02-13 19:50:45
198,Adrar,MR,20.5022,-10.0711,66.02,19,46,10.18,scattered clouds,2022-02-13 19:49:15
199,Vanimo,PG,-2.6741,141.3028,77.4,89,99,5.57,overcast clouds,2022-02-13 19:50:57
200,Gaoua,BF,10.2992,-3.2508,84.79,12,12,5.12,few clouds,2022-02-13 19:53:52
201,Butaritari,KI,3.0707,172.7902,81.77,75,52,12.62,broken clouds,2022-02-13 19:48:17
202,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,40,16.11,scattered clouds,2022-02-13 19:48:39
203,Stephenville,US,32.2207,-98.2023,64.74,21,0,8.05,clear sky,2022-02-13 19:53:53
204,Saharsa,IN,25.8833,86.6,56.01,57,0,5.12,clear sky,2022-02-13 19:53:53
205,Port-Cartier,CA,50.0334,-66.8654,5.76,66,62,6.17,broken clouds,2022-02-13 19:51:06
206,Jiaozuo,CN,35.2397,113.2331,37.6,72,4,4.65,clear sky,2022-02-13 19:53:54
207,Muros,ES,42.7762,-9.0603,52.84,73,9,18.28,clear sky,2022-02-13 19:47:08
208,Tres Arroyos,AR,-38.3739,-60.2798,80.78,23,0,10.25,clear sky,2022-02-13 19:53:54
209,Nelson Bay,AU,-32.7167,152.15,64.99,72,100,9.48,overcast clouds,2022-02-13 19:50:15
210,Kangaba,ML,11.9333,-8.4167,79.84,12,4,4.27,clear sky,2022-02-13 19:53:55
211,Praia,CV,14.9215,-23.5087,75.74,64,0,18.41,clear sky,2022-02-13 19:53:55
212,Charleston,US,32.7766,-79.9309,65.08,63,75,8.05,broken clouds,2022-02-13 19:50:10
213,Berea,US,41.3662,-81.8543,25.18,81,100,9.22,snow,2022-02-13 19:51:42
214,Barhi,IN,23.9,80.8,55.45,38,0,6.11,clear sky,2022-02-13 19:53:56
215,Nanortalik,GL,60.1432,-45.2371,29.03,80,100,9.42,overcast clouds,2022-02-13 19:50:22
216,Codrington,AU,-38.2667,141.9667,59.86,89,61,6.78,broken clouds,2022-02-13 19:48:12
217,Elizabeth City,US,36.2946,-76.2511,45.01,65,100,20.71,overcast clouds,2022-02-13 19:52:02
218,Puerto Penasco,MX,31.3167,-113.5333,66.9,56,16,5.99,few clouds,2022-02-13 19:53:57
219,Esperance,AU,-33.8667,121.9,58.84,74,0,10.65,clear sky,2022-02-13 19:49:33
220,Dunedin,NZ,-45.8742,170.5036,54.81,78,5,3.36,clear sky,2022-02-13 19:47:41
221,Goroka,PG,-6.0834,145.3873,61.56,98,100,0.94,overcast clouds,2022-02-13 19:53:58
222,Lebaksiu,ID,-7.0496,109.1441,73.96,94,100,2.06,overcast clouds,2022-02-13 19:53:58
223,Severo-Kurilsk,RU,50.6789,156.125,21.92,70,36,10.22,scattered clouds,2022-02-13 19:48:40
224,Nioro,GM,13.35,-15.75,83.43,10,27,7.43,scattered clouds,2022-02-13 19:53:59
225,Bogale,MM,16.2833,95.4,64.69,58,60,6.91,broken clouds,2022-02-13 19:53:59
226,Iralaya,HN,15.0,-83.2333,82.49,64,0,9.93,clear sky,2022-02-13 19:54:00
227,Colgong,IN,25.2667,87.2167,56.73,56,0,3.6,clear sky,2022-02-13 19:54:00
228,Otradnoye,RU,59.7775,30.8181,34.03,89,100,13.11,snow,2022-02-13 19:54:00
229,Flinders,AU,-34.5833,150.8552,68.38,80,100,5.01,overcast clouds,2022-02-13 19:54:01
230,Moskovskiy,RU,55.5991,37.355,29.3,59,0,11.18,light snow,2022-02-13 19:54:01
231,Nizhniy Kuranakh,RU,58.8353,125.4869,-23.98,100,100,2.59,overcast clouds,2022-02-13 19:54:02
232,Clyde River,CA,70.4692,-68.5914,-23.57,76,0,12.66,haze,2022-02-13 19:48:00
233,Praya,CV,14.9215,-23.5087,75.74,64,0,18.41,clear sky,2022-02-13 19:50:11
234,Valleyview,CA,55.0667,-117.2859,35.64,55,82,8.05,broken clouds,2022-02-13 19:54:02
235,Meulaboh,ID,4.1363,96.1285,76.33,90,88,4.85,overcast clouds,2022-02-13 19:50:53
236,Sucua,EC,-2.4667,-78.1667,81.34,61,75,9.22,light rain,2022-02-13 19:54:03
237,Kottayam,IN,9.5833,76.5167,78.82,91,53,2.21,broken clouds,2022-02-13 19:54:04
238,Hirara,JP,24.8,125.2833,66.42,84,100,23.15,overcast clouds,2022-02-13 19:51:22
239,Delta Del Tigre,UY,-34.7633,-56.3853,70.9,52,75,12.66,broken clouds,2022-02-13 19:54:04
240,Kaitangata,NZ,-46.2817,169.8464,54.93,80,16,2.86,few clouds,2022-02-13 19:49:58
241,Roma,US,43.2128,-75.4557,22.42,59,100,3.0,overcast clouds,2022-02-13 19:54:05
242,Norrtalje,SE,59.758,18.705,39.29,85,100,13.27,overcast clouds,2022-02-13 19:54:05
243,Sarkikaraagac,TR,38.0794,31.3664,28.45,86,85,0.74,overcast clouds,2022-02-13 19:54:06
244,Renqiu,CN,38.6989,116.0936,17.55,97,38,5.17,scattered clouds,2022-02-13 19:54:06
245,Longyearbyen,SJ,78.2186,15.6401,9.7,96,100,2.62,overcast clouds,2022-02-13 19:50:55
246,Tiksi,RU,71.6872,128.8694,-12.95,93,11,11.83,few clouds,2022-02-13 19:48:24
